customerName,checkNumber
"Atelier graphique",HQ336336
"Atelier graphique",OM314933
"Signal Gift Stores",BO864823
"Signal Gift Stores",HQ55022
"Signal Gift Stores",ND748579
"Australian Collectors, Co.",MA765515
"Australian Collectors, Co.",NR27552
"La Rochelle Gifts",DB933704
"La Rochelle Gifts",LN373447
"La Rochelle Gifts",NG94694
"Baane Mini Imports",FD317790
"Baane Mini Imports",KI831359
"Baane Mini Imports",MA302151
"Mini Gifts Distributors Ltd.",AE215433
"Mini Gifts Distributors Ltd.",BG255406
"Mini Gifts Distributors Ltd.",ET64396
"Mini Gifts Distributors Ltd.",HI366474
"Mini Gifts Distributors Ltd.",HR86578
"Mini Gifts Distributors Ltd.",KI131716
"Mini Gifts Distributors Ltd.",LF217299
"Mini Gifts Distributors Ltd.",NT141748
"Blauer See Auto, Co.",FA465482
"Blauer See Auto, Co.",FH668230
"Blauer See Auto, Co.",IP383901
"Mini Wheels Co.",DM826140
"Mini Wheels Co.",ID449593
"Land of Toys Inc.",MA724562
"Land of Toys Inc.",NB445135
"Euro+ Shopping Channel",AU364101
"Euro+ Shopping Channel",DB583216
"Euro+ Shopping Channel",DL460618
"Euro+ Shopping Channel",HJ32686
"Euro+ Shopping Channel",ID10962
"Euro+ Shopping Channel",IN446258
"Euro+ Shopping Channel",JE105477
"Euro+ Shopping Channel",JN355280
"Euro+ Shopping Channel",KT52578
"Euro+ Shopping Channel",MC46946
"Euro+ Shopping Channel",MF629602
"Euro+ Shopping Channel",NU627706
"Volvo Model Replicas, Co",IR846303
"Danish Wholesale Imports",CN328545
"Danish Wholesale Imports",ED39322
"Danish Wholesale Imports",HR182688
"Saveley & Henriot, Co.",FP549817
"Saveley & Henriot, Co.",FU793410
"Saveley & Henriot, Co.",LJ160635
"Dragon Souveniers, Ltd.",DD635282
"Dragon Souveniers, Ltd.",KM172879
"Dragon Souveniers, Ltd.",ME497970
"Muscle Machine Inc",BF686658
"Muscle Machine Inc",GB852215
"Muscle Machine Inc",IP568906
"Muscle Machine Inc",KI884577
"Diecast Classics Inc.",HI618861
"Diecast Classics Inc.",NN711988
"Technics Stores Inc.",BR352384
"Technics Stores Inc.",BR478494
"Technics Stores Inc.",KG644125
"Technics Stores Inc.",NI908214
"Handji Gifts& Co",BQ327613
"Handji Gifts& Co",DC979307
"Handji Gifts& Co",LA318629
"Herkku Gifts",ED743615
"Herkku Gifts",GN228846
"Daedalus Designs Imports",GB878038
"Daedalus Designs Imports",IL104425
"La Corne D'abondance, Co.",AD832091
"La Corne D'abondance, Co.",CE51751
"Cambridge Collectables Co.",GP545698
"Cambridge Collectables Co.",IG462397
"Gift Depot Inc.",CITI3434344
"Gift Depot Inc.",IO448913
"Gift Depot Inc.",PI15215
"Osaka Souveniers Co.",AU750837
"Osaka Souveniers Co.",CI381435
"Vitachrome Inc.",CM564612
"Vitachrome Inc.",OH367219
"Toys of Finland, Co.",AE192287
"Toys of Finland, Co.",AK412714
"Toys of Finland, Co.",KA602407
"AV Stores, Co.",AM968797
"AV Stores, Co.",BQ39062
"Clover Collections, Co.",BO711618
"Clover Collections, Co.",NM916675
"Auto-Moto Classics Inc.",FI192930
"Auto-Moto Classics Inc.",HQ920205
"Auto-Moto Classics Inc.",IS946883
"UK Collectables, Ltd.",DP677013
"UK Collectables, Ltd.",OO846801
"Canadian Gift Exchange Network",HI358554
"Canadian Gift Exchange Network",IQ627690
"Online Mini Collectables",GC697638
"Online Mini Collectables",IS150005
Toys4GrownUps.com,GL756480
Toys4GrownUps.com,LL562733
Toys4GrownUps.com,NM739638
"Mini Caravy",BOAF82044
"Mini Caravy",ED520529
"Mini Caravy",PH785937
"King Kong Collectables, Co.",BJ535230
"Enaco Distributors",ML780814
"Enaco Distributors",MM342086
"Boards & Toys Co.",BN17870
"Boards & Toys Co.",BR941480
"Heintze Collectables",MQ413968
"Heintze Collectables",NU21326
"Québec Home Shopping Network",BOFA23232
